course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
PRINCÍPIOS GERAIS DA TÉCNICA DO VIOLINO E DA VIOLA DE ARCO,Not Specified,Professional Certificate,,77,2 Hours,Advanced,3,https://www.coursera.org/learn/tecnica-violino-viola,Coordination; Classical Music; Music Performance,Not Specified,Not Specified,Not Specified
A tecnologia da produção musical,Not Specified,Professional Certificate,,35,2 Weeks,Advanced,161,https://www.coursera.org/learn/tecnologia-producao-musical,Media Production; Editing; Musical Composition; Creativity; Music; Digital Signal Processing; Instrumental Music,Not Specified,Not Specified,Not Specified
Teoria Musical,Not Specified,Professional Certificate,,70,2 Weeks,Advanced,15,https://www.coursera.org/learn/teoria-musical,Music; Musical Composition; Music History; Peer Review; World Music; Instrumental Music; Music Theory; Music Performance,Not Specified,Not Specified,Not Specified
The 10-Second Filmmaker: Storytelling 10 Seconds at a Time,Not Specified,Professional Certificate,,0,6 Hours,Advanced,97,https://www.coursera.org/learn/the-10-second-filmmaker-storytelling-10-seconds-at-a-time,Storyboarding; Writing; Storytelling; Cinematography; Video Production; Editing; Creativity,Not Specified,Not Specified,Not Specified
The American Renaissance and Frederick Douglass,Not Specified,Professional Certificate,,0,4 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-frederick-douglass,Liberal Arts; Culture; Research; Cultural Diversity; Social Justice; Storytelling; Social Studies; Writing; Oral Expression,Not Specified,Not Specified,Not Specified
The American Renaissance and Harriet Beecher Stowe,Not Specified,Professional Certificate,,0,3 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-harriet-beecher-stowe,Storytelling; Writing; World History; Liberal Arts,Not Specified,Not Specified,Not Specified
The American Renaissance and Herman Melville,Not Specified,Professional Certificate,,0,4 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-herman-melville,Culture; World History; Writing; Liberal Arts; Storytelling,Not Specified,Not Specified,Not Specified
The American Renaissance and Mark Twain,Not Specified,Professional Certificate,,0,4 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-mark--twain,Storytelling; Research; Diversity Awareness; Liberal Arts; Culture; Writing; Cultural Diversity,Not Specified,Not Specified,Not Specified
The American Renaissance and Nathaniel Hawthorne,Not Specified,Professional Certificate,,0,4 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-nathaniel-hawthorne,World History; Storytelling; Public History; Liberal Arts; Writing,Not Specified,Not Specified,Not Specified
The American Renaissance and Ralph Waldo Emerson,Not Specified,Professional Certificate,,10,4 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-ralph-waldo-emerson,Advocacy; Liberal Arts; Political Sciences; Social Justice; Ethical Standards And Conduct; Cultural Diversity; Research; Culture; Creativity; Social Studies; Writing,Not Specified,Not Specified,Not Specified
The American Renaissance and Walt Whitman,Not Specified,Professional Certificate,,0,3 Hours,Advanced,1,https://www.coursera.org/learn/the-american-renaissance-and-walt-whitman,Writing; World History; Editing; Social Studies; Liberal Arts,Not Specified,Not Specified,Not Specified
The Art and Science of Producing Vocals and Instruments,Not Specified,Professional Certificate,,0,6 Hours,Advanced,6,https://www.coursera.org/learn/the-art-and-science-of-producing-vocals-and-instruments,Editing; Instrumental Music; Post-Production; Music; Media Production; Musical Composition; Music Theory,Not Specified,Not Specified,Not Specified
The Art of Film Editing: Color & Visual Storytelling,Not Specified,Professional Certificate,,0,7 Hours,Advanced,97,https://www.coursera.org/learn/the-art-of-film-editing-color--visual-storytelling,Video Production; Cinematography; Color Theory; Storytelling; Post-Production; Video Editing; Editing; Adobe Premiere,Not Specified,Not Specified,Not Specified
The Art of Film Editing: Foundations of Editing,Not Specified,Professional Certificate,,0,6 Hours,Advanced,97,https://www.coursera.org/learn/the-art-of-film-editing-foundations-of-editing,Cinematography; Adobe Premiere; Post-Production; Timelines; Video Production; Video Editing; Editing; Storytelling,Not Specified,Not Specified,Not Specified
The Art of Film Editing: Visual Effects & Sound Design,Not Specified,Professional Certificate,,0,7 Hours,Advanced,97,https://www.coursera.org/learn/the-art-of-film-editing-visual-effects--sound-design,Music; Storytelling; Video Editing; Motion Graphics; Video Production; Cinematography; Adobe Premiere; Post-Production,Not Specified,Not Specified,Not Specified
