url,title,rating,learning_path,topic,level,duration,students_enrolled,description,learning_tools
https://www.dicoding.com/academies/292-meniti-karier-sebagai-software-developer,Meniti Karier sebagai Software Developer,4.90,,iOS,Level: Dasar,7 Jam Belajar,,+4 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas)
https://www.dicoding.com/academies/302-pengenalan-ke-logika-pemrograman-programming-logic-101,Pengenalan ke Logika Pemrograman (Programming Logic 101),4.91,,Data,Level: Dasar,6 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas)
https://www.dicoding.com/academies/317-belajar-dasar-git-dengan-github,Belajar Dasar Git dengan GitHub,4.89,,Data,Level: Dasar,15 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/120-memulai-pemrograman-dengan-c,Memulai Pemrograman Dengan C,4.84,,Programming Language,Level: Dasar,15 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Web Browser (Google Chrome atau Mozilla Firefox)
https://www.dicoding.com/academies/177-belajar-dasar-visualisasi-data,Belajar Dasar Visualisasi Data,4.86,,Data,Level: Dasar,16 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas)
https://www.dicoding.com/academies/86-memulai-pemrograman-dengan-python,Memulai Pemrograman dengan Python,4.82,"Back-End Python ,",Programming Language,Level: Dasar,60 Jam Belajar,,Level: Dasar,"Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Celeron (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Teks Editor (Notepad++) atau IDE (PyCharm,dll)"
https://www.dicoding.com/academies/184-belajar-machine-learning-untuk-pemula,Belajar Machine Learning untuk Pemula,4.85,"AI Engineer ,",AI,Level: Pemula,90 Jam Belajar,,+2 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Google Colaboratory | Cara penggunaan akan diajarkan pada kelas ini.
https://www.dicoding.com/academies/185-belajar-fundamental-deep-learning,Belajar Fundamental Deep Learning,4.87,"AI Engineer ,",AI,Level: Menengah,110 Jam Belajar,,+3 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Google Colaboratory | Cara penggunaan akan diajarkan pada kelas ini.
https://www.dicoding.com/academies/319-machine-learning-terapan,Machine Learning Terapan,4.87,AI Engineer,AI,Level: Mahir,80 Jam Belajar,,+1 lainnya,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Dual Core (Rekomendasi Core i3 ke atas) | Tools yang dibutuhkan untuk belajar: | Google Colaboratory
https://www.dicoding.com/academies/60-memulai-pemrograman-dengan-java,Memulai Pemrograman Dengan Java,4.86,,Android,Level: Dasar,15 Jam Belajar,,Level: Dasar,Peralatan Belajar | Spesifikasi minimal perangkat: | Prosesor | Intel Core i3 (Rekomendasi Core i5 ke atas) | Tools yang dibutuhkan untuk belajar: | Glot.io dan Replit | Cara akses dan menggunakan akan diajarkan di kelas ini.
